ردیف,نام کالا,برند,قیمت فروش به ریال
3001,بلبرینگ چرخ جلو پژو405,PSN,"17,100,500"
3002,بلبرینگ تقویتی چرخ جلو405,PSN,"29,086,950"
3003,توپی چرخ عقب پژو405 - ترمز ضد قفلABS,PSN,"26,621,350"
3004,توپی چرخ عقب ساده پژو405,PSN,"25,634,650"
3005,بلبرینگ چرخ عقب206 تیپ پنج,PSN,"29,351,450"
3006,بلبرینگ وسط پلوس405، سمند و پرشیا,PSN,"3,548,900"
3007,رولبرینگ ژامبون بزرگ چرخ عقب پژو405,PSN,"5,659,150"
3008,رولبرینگ ژامبون کوچک چرخ عقب پژو405,PSN,"4,240,050"
3009,رولبرینگ سوزنی تقویتی پژو405,PSN,"3,841,000"
3010,بلبرینگ چرخ عقب206 تیپ2 و3,PSN,"14,836,150"
3011,بلبرینگ چرخ عقب پیکان /آردی,PSN,"9,295,450"
3012,چهارشاخ گاردان پیکان,PSN,"5,177,300"
3013,بلبرینگ گیربکس پیکان و آردی,PSN,"10,496,050"
3014,بلبرینگ با توپی چرخ عقب دنا پنج پیچ,PSN,"33,490,300"
3015,بلبرینگ دو ردیفه چرخ جلو تاراABS,PSN,"21,641,850"
3016,بلبرینگ دو ردیفه چرخ عقب تارا,PSN,"18,973,850"
3017,بلبرینگ چرخ جلو پراید جدید,PSN,"11,646,050"
3018,رولبرینگ مخروطی چرخ جلو پراید قدیم69349,PSN,"4,922,000"
3019,رولبرینگ بزرگ چرخ عقب پراید و چرخ جلو بزرگ پیکان44649,PSN,"5,886,850"
3020,رولبرینگ کوچک چرخ عقب پراید جدید و چرخ جلو کوچک پیکان11949,PSN,"4,528,700"
3021,كیت كالچ كامل پراید فنر دوبل,پلاستکس,"82,300,900"
3022,كیت كالچ كامل پراید پری دمپر6فنر,پلاستکس,"84,838,490"
3023,کیت کالچ کامل پری دمپر6فنر پژو405,پلاستکس,"111,712,150"
3024,كیت كالچ کامل پژو206 تیپ5,پلاستکس,"108,903,850"
3025,كیت كالچ کامل پژو206 تیپ2,پلاستکس,"98,379,050"
3026,کیت کالچ کامل رانا,پلاستکس,"109,118,900"
3027,كیت كالچ کامل پیکان,پلاستکس,"105,893,150"
3028,کیت کالچ کاملL90,پلاستکس,"113,736,150"
3029,كیت كالچ كامل كوییك -تیبا - ساینا پري دمپر,پلاستکس,"100,520,695"
3030,كیت كالچ كامل ساینا - تیبا215,پلاستکس,"116,898,650"
3031,كیت كالچ كامل تیبا200,پلاستکس,"109,182,150"
3032,کیت کالچ کامل شاهین ترکیبی,پلاستکس,"112,189,055"
3033,بلبرینگ دوبل چرخ جلو پراید,پلاستکس,"13,040,885"
3034,بلبرینگ دوبل چرخ جلو پژو ٥٠٤,پلاستکس,"19,054,695"
3035,رولربیرینگ كوچك چرخ جلو پیکان - روآ - آریسان پژوRD,پلاستکس,"4,266,845"
3036,رولربیرینگ بزرگ چرخ جلو پیکان - روآ - آریسان پژوRD,پلاستکس,"5,001,810"
3037,بلبرینگ دوبل چرخ جلو پژو206 تیپ2 و3,پلاستکس,"15,201,505"
3038,بلبرینگ وسط پلوس پژو405 و206,پلاستکس,"3,827,890"
3039,رولربیرینگ كوچك چرخ عقب پراید قدیم,پلاستکس,"3,834,215"
